Irving Park,41.952964,-87.729263,elevated,false,-1,-1,6,-1,-1,-1,-1
Addison,41.94738,-87.71906,surface,false,-1,-1,7,-1,-1,-1,-1
Belmont,41.939274,-87.711684,subway,false,-1,-1,8,-1,-1,-1,-1
Logan Square,41.929722,-87.708611,subway,true,-1,-1,9,-1,-1,-1,-1
California,41.921944,-87.696944,elevated,false,-1,-1,10,-1,-1,-1,-1
Western,41.916111,-87.6875,elevated,true,-1,-1,11,-1,-1,-1,-1
Damen,41.909722,-87.6775,elevated,false,-1,-1,12,-1,-1,-1,-1
Division,41.903333,-87.666389,subway,false,-1,-1,13,-1,-1,-1,-1
Chicago,41.896111,-87.655278,subway,false,-1,-1,14,-1,-1,-1,-1
Grand,41.891111,-87.6475,subway,false,-1,-1,15,-1,-1,-1,-1
Washington,41.883164,-87.62944,subway,false,-1,-1,17,-1,-1,-1,-1
Monroe,41.880703,-87.629378,subway,false,-1,-1,18,-1,-1,-1,-1
LaSalle,41.875568,-87.631722,subway,false,-1,-1,20,-1,-1,-1,-1
Clinton,41.875539,-87.640984,subway,false,-1,-1,21,-1,-1,-1,-1
UIC-Halsted,41.875474,-87.649707,surface,true,-1,-1,22,-1,-1,-1,-1
Racine,41.87592,-87.659458,surface,false,-1,-1,23,-1,-1,-1,-1
Illinois Medical District,41.875706,-87.673932,surface,true,-1,-1,24,-1,-1,-1,-1
Western,41.875478,-87.688436,surface,false,-1,-1,25,-1,-1,-1,-1
Kedzie-Homan,41.874341,-87.70604,surface,true,-1,-1,26,-1,-1,-1,-1
Pulaski,41.873797,-87.725663,surface,false,-1,-1,27,-1,-1,-1,-1
Cicero,41.871574,-87.745154,surface,false,-1,-1,28,-1,-1,-1,-1
Austin,41.970851,-87.776812,surface,false,-1,-1,29,-1,-1,-1,-1
Oak Park,41.872108,-87.791602,surface,false,-1,-1,30,-1,-1,-1,-1
Harlem,41.87349,-87.806961,embankment,false,-1,-1,31,-1,-1,-1,-1
Forest Park,41.874257,-87.817318,elevated,true,-1,-1,32,-1,-1,-1,-1
Kimball,41.967628,-87.712934,at-grade,true,-1,-1,-1,0,-1,-1,-1
Kedzie,41.966099,-87.709426,at-grade,true,-1,-1,-1,1,-1,-1,-1
Francisco,41.966155,-87.702099,at-grade,true,-1,-1,-1,2,-1,-1,-1
Rockwell,41.966208,-87.69472,at-grade,true,-1,-1,-1,3,-1,-1,-1
Western,41.966259,-87.688448,elevated,true,-1,-1,-1,4,-1,-1,-1
Damen,41.966398,-87.679004,elevated,true,-1,-1,-1,5,-1,-1,-1
Montrose,41.96165,-87.675162,elevated,true,-1,-1,-1,6,-1,-1,-1
Irving Park,41.954387,-87.674956,elevated,true,-1,-1,-1,7,-1,-1,-1
Addison,41.946972,-87.674728,elevated,true,-1,-1,-1,8,-1,-1,-1
Paulina,41.943722,-87.670858,elevated,true,-1,-1,-1,9,-1,-1,-1
Southport,41.943822,-87.663383,elevated,true,-1,-1,-1,10,-1,-1,-1
Wellington,41.936203,-87.653239,elevated,true,-1,-1,-1,12,12,-1,-1
Diversey,41.932748,-87.653155,elevated,true,-1,-1,-1,13,13,-1,-1
Armitage,41.918234,-87.652659,elevated,true,-1,-1,-1,15,15,-1,-1
Sedgwick,41.910397,-87.638631,elevated,true,-1,-1,-1,16,16,-1,-1
Chicago,41.896467,-87.635833,elevated,true,-1,-1,-1,17,17,-1,-1
Merchandise Mart,41.888675,-87.633966,elevated,true,-1,-1,-1,18,18,-1,-1
Washington/Wells,41.882541,-87.633824,elevated,true,-1,-1,-1,19,26,21,11
Quincy,41.878752,-87.633703,elevated,false,-1,-1,-1,20,25,20,10
LaSalle/Van Buren,41.8768,-87.631739,elevated,false,-1,-1,-1,21,24,19,9
Harold Washington Library,41.876862,-87.628196,elevated,true,-1,-1,-1,22,23,18,8
Linden,42.07379,-87.69056,at-grade,true,-1,-1,-1,-1,0,-1,-1
Central,42.06395,-87.685742,elevated,false,-1,-1,-1,-1,1,-1,-1
Noyes,42.058088,-87.683196,elevated,false,-1,-1,-1,-1,2,-1,-1
Foster,42.054136,-87.683604,elevated,false,-1,-1,-1,-1,3,-1,-1
Davis,42.04771,-87.68363,elevated,true,-1,-1,-1,-1,4,-1,-1
Dempster,42.04187,-87.68237,elevated,false,-1,-1,-1,-1,5,-1,-1
